category ,sub cat ,prod code,name ,desc ,key features ,package content,size ,area ,height ,material ,weight ,color ,vase included ,customer price ,discount price ,wholeseller price ,wholeseller discount price ,availability ,featured ,promotional page ,promotional date ,productId ,offer valid
Artificial Flowers,,AB 12HD PEONY R237-1155-Pink," Gorgeous Artificial Synthetic Peony Bunch (Pink, 40 cm tall)"," is your one stop solution for all your needs pertaining to Artificial Flowers, Artificial Plants, Vases, Planters and  Artificial Trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the Industry. We also supply in bulk. Why you should buy from : 1) Quality Products 2) Reliability 3) Aesthetics 4) Value for money 5) Variety 6) Latest trends in the industry 7) Customer Service 8) Amazing Packaging","Material: Synthetic, Color: Pink**Total Height:-40 cm ,**no of flowers:-24",1 Flower bunch,0,0,40,Synthetic,0,Pink,Yes,1000,299,155,0,5,No,No,1/1/1970,805,"LAUNCH15,EXTRA20"
Artificial Flowers,,AB 12HD PEONY R237-1155-ppl," Gorgeous Artificial Synthetic Peony Bunch (Purple, 40 cm tall)"," is your one stop solution for all your needs pertaining to Artificial Flowers, Artificial Plants, Vases, Planters and  Artificial Trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the Industry. We also supply in bulk. Why you should buy from : 1) Quality Products 2) Reliability 3) Aesthetics 4) Value for money 5) Variety 6) Latest trends in the industry 7) Customer Service 8) Amazing Packaging","Material: Synthetic, Color: Purple**Total Height:-40 cm ,**no of flowers:-24",1 Flower bunch,0,0,40,Synthetic,0,Purple,Yes,1000,299,155,0,5,No,No,1/1/1970,806,"LAUNCH15,EXTRA20"
Artificial Flowers,,AB 12HD PEONY R237-1155-sky blue," Gorgeous Artificial Synthetic Peony Bunch (Sky Blue, 40 cm tall)"," is your one stop solution for all your needs pertaining to Artificial Flowers, Artificial Plants, Vases, Planters and  Artificial Trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the Industry. We also supply in bulk. Why you should buy from : 1) Quality Products 2) Reliability 3) Aesthetics 4) Value for money 5) Variety 6) Latest trends in the industry 7) Customer Service 8) Amazing Packaging","Material: Synthetic, Color: Sky Blue**Total Height:-40 cm ,**no of flowers:-24",1 Flower bunch,0,0,40,Synthetic,0,Other,Yes,1000,299,155,0,5,No,No,1/1/1970,807,"LAUNCH15,EXTRA20"
Artificial Flowers,,AB 12HD PEONY R237-1155-wht," Gorgeous Artificial Synthetic Peony Bunch (White, 40 cm tall)"," is your one stop solution for all your needs pertaining to Artificial Flowers, Artificial Plants, Vases, Planters and  Artificial Trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the Industry. We also supply in bulk. Why you should buy from : 1) Quality Products 2) Reliability 3) Aesthetics 4) Value for money 5) Variety 6) Latest trends in the industry 7) Customer Service 8) Amazing Packaging","Material: Synthetic, Color: White**Total Height:-40 cm ,**no of flowers:-24",1 Flower bunch,0,0,40,Synthetic,0,White,Yes,1000,299,155,0,5,No,No,1/1/1970,808,"LAUNCH15,EXTRA20"
Artificial Flowers,Bunches,AB 20 HD LILY R395/195/BLUE,Artificial Polyester Lily Bouquet(Blue)," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: blue**Total height:-57cm**No of leaves-4**Stem length-11.5cm**No of bunches-6**No of flowers-20",1 Lily Bouquet,0,0,57,Polyester,0,Blue,Yes,800,240,95,0,5,No,No,1/1/1970,972,LAUNCH15
Artificial Flowers,Bunches,AB 20 HD LILY R395/195/DKPK,Artificial Polyester Lily Bouquet(Dark pink)," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: dark pink**Total height:-57cm**No of leaves-4**Stem length-11.5cm**No of bunches-6**No of flowers-20",1 Lily Bouquet,0,0,57,Polyester,0,Other,Yes,800,240,95,0,5,No,No,1/1/1970,973,LAUNCH15
Artificial Flowers,Bunches,AB 20 HD LILY R395/195/GRN,Artificial Polyester Lily Bouquet(Green)," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: Green**Total height:-57cm**No of leaves-4**Stem length-11.5cm**No of bunches-6**No of flowers-20",1 Lily Bouquet,0,0,57,Polyester,0,Green,Yes,800,240,95,0,5,No,No,1/1/1970,974,LAUNCH15
Artificial Flowers,Bunches,AB 20 HD LILY R395/195/LTPK,Artificial Polyester Lily Bouquet(Light pink)," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: light pink**Total height:-57cm**No of leaves-4**Stem length-11.5cm**No of bunches-6**No of flowers-20",1 Lily Bouquet,0,0,57,Polyester,0,Other,Yes,800,240,95,0,5,No,No,1/1/1970,975,LAUNCH15
Artificial Flowers,Bunches,AB 20 HD LILY R395/195/ORG,Artificial Polyester Lily Bouquet(Orange)," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: orange**Total height:-57cm**No of leaves-4**Stem length-11.5cm**No of bunches-6**No of flowers-20",1 Lily Bouquet,0,0,57,Polyester,0,Orange,Yes,800,240,95,0,5,No,No,1/1/1970,976,LAUNCH15
Artificial Flowers,Bunches,AB 20 HD LILY R395/195/PPL,Artificial Polyester Lily Bouquet(Purple)," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: purple**Total height:-57cm**No of leaves-4**Stem length-11.5cm**No of bunches-6**No of flowers-20",1 Lily Bouquet,0,0,57,Polyester,0,Purple,Yes,800,240,95,0,4,No,No,1/1/1970,977,LAUNCH15
Artificial Flowers,Bunches,AB 20 HD LILY R395/195/WH,Artificial Polyester Lily Bouquet(White)," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: white**Total height:-57cm**No of leaves-4**Stem length-11.5cm**No of bunches-6**No of flowers-20",1 Lily Bouquet,0,0,57,Polyester,0,White,Yes,800,240,95,0,5,No,No,1/1/1970,979,LAUNCH15
Artificial Flowers,Bunches,AB 20 HD LILY R395/195/YLW,Artificial Polyester Lily Bouquet(Yellow)," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: yellow**Total height:-57cm**No of leaves-4**Stem length-11.5cm**No of bunches-6**No of flowers-20",1 Lily Bouquet,0,0,57,Polyester,0,Yellow,Yes,800,240,95,0,4,No,No,1/1/1970,980,LAUNCH15
Artificial Flowers,Bunches,AB 21HD MINI LILY/R024/165/DKPK/S2,"Artificial mini lily Bouquet(Set of 2,Dark Pink)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: dark pink**Total height:-33cm, Width-20cm **No of leaves-6** Stem length-9cm**No of bunches-7**No of flowers-21",2 Lily Flower Bouquet,0,0,33,Polyester,0,Other,Yes,1000,299,130,0,5,No,No,1/1/1970,981,LAUNCH15
Artificial Flowers,Bunches,AB 21HD MINI LILY/R024/165/ORANGE/S2,"Artificial mini lily Bouquet(Set of 2,Orange)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: orange**Total height:-33cm, Width-20cm **No of leaves-6** Stem length-9cm**No of bunches-7**No of flowers-21",2 Lily Flower Bouquet,0,0,33,Polyester,0,Orange,Yes,1000,299,130,0,5,No,No,1/1/1970,982,LAUNCH15
Artificial Flowers,Bunches,AB 21HD MINI LILY/R024/165/RED/S2,"Artificial mini lily Bouquet(Set of 2,Red)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: red**Total height:-33cm, Width-20cm **No of leaves-6** Stem length-9cm**No of bunches-7**No of flowers-21",2 Lily Flower Bouquet,0,0,33,Polyester,0,Red,Yes,1000,299,130,0,5,No,No,1/1/1970,983,LAUNCH15
Artificial Flowers,Bunches,AB 21HD MINI LILY/R024/165/WH/S2,"Artificial mini lily Bouquet(Set of 2,White)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Polyester, Color: white**Total height:-33cm, Width-20cm **No of leaves-6** Stem length-9cm**No of bunches-7**No of flowers-21",2 Lily Flower Bouquet,0,0,33,Polyester,0,White,Yes,1000,299,65,0,5,No,No,1/1/1970,984,LAUNCH15
Artificial Flowers,Bunches,AB 30 HD SM ROSE /R185/195/BEIGE,"Artificial Mini Rose Bunch (10 Branches with 30 Flowers, Orange)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Synthetic, Color: beige**Total height:-42 cm",1 Artificial Flower Bunch,0,0,45,Synthetic,0,Beige,Yes,800,240,95,0,5,No,No,1/1/1970,985,LAUNCH15
Artificial Flowers,Bunches,AB 30 HD SM ROSE /R185/195/DKPPL,"Artificial Mini Rose Bunch (10 Branches with 30 Flowers, Orange)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Synthetic, Color: dark purple**Total height:-42 cm",1 Artificial Flower Bunch,0,0,45,Synthetic,0,Other,Yes,800,240,95,0,5,No,No,1/1/1970,986,LAUNCH15
Artificial Flowers,Bunches,AB 30 HD SM ROSE /R185/195/LTPK,"Artificial Mini Rose Bunch (10 Branches with 30 Flowers, Orange)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Synthetic, Color: light pink**Total height:-42 cm",1 Artificial Flower Bunch,0,0,45,Synthetic,0,Purple,Yes,800,240,95,0,5,No,No,1/1/1970,987,LAUNCH15
Artificial Flowers,Bunches,AB 30 HD SM ROSE /R185/195/LTPPL,"Artificial Mini Rose Bunch (10 Branches with 30 Flowers, Orange)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Synthetic, Color: light purple**Total height:-42 cm",1 Artificial Flower Bunch,0,0,45,Synthetic,0,Purple,Yes,800,240,95,0,5,No,No,1/1/1970,988,LAUNCH15
Artificial Flowers,Bunches,AB 30 HD SM ROSE /R185/195/org,"Artificial Mini Rose Bunch (10 Branches with 30 Flowers, Orange)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Synthetic, Color: Orange**Total height:-42 cm",1 Artificial Flower Bunch,0,0,45,Synthetic,0,Orange,Yes,800,240,95,0,5,No,No,1/1/1970,989,LAUNCH15
Artificial Flowers,Bunches,AB 30 HD SM ROSE /R185/195/WH,"Artificial Mini Rose Bunch (10 Branches with 30 Flowers, Orange)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Synthetic, Color: white**Total height:-42 cm",1 Artificial Flower Bunch,0,0,45,Synthetic,0,White,Yes,800,240,95,0,5,No,No,1/1/1970,990,LAUNCH15
Artificial Flowers,Bunches,AB 5 HD GYPSO R076/195/BLUE,"Synthetic Gypso Flower (Set of 1,blue)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Fabric, Color: blue**Item Size: Height: 30 cm",1 Artificial Flower Bunch,0,0,30,Fabric,0,Blue,Yes,800,240,95,0,5,No,No,1/1/1970,991,LAUNCH15
Artificial Flowers,Bunches,AB 5 HD GYPSO R076/195/ORG,"Synthetic Gypso Flower (Set of 1,orange)"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Fabric, Color: orange**Item Size: Height: 30 cm",1 Artificial Flower Bunch,0,0,30,Fabric,0,Orange,Yes,800,240,95,0,5,No,No,1/1/1970,992,LAUNCH15
Artificial Flowers,Bunches,AB 5 HD GYPSO R076/195/PPL,"Synthetic Gypso Flower (Set of 1,purple"," is your one stop solution for all your needs pertaining to artificial flowers, artificial plants, vases, planters and artificial trees. All our products are sourced from China and from the best of manufacturers in our industry. At  you are guaranteed to receive the highest of quality of products at the most competitive prices in the industry. We also supply in bulk. Note:  does not authorize any seller to sell on our behalf on any e-commerce platform. We operate under the same brand name as well as seller name. Please refrain from buying any product listed under our brand name where the seller is anyone other than  to avoid being cheated by unscrupulous sellers.","Material: Fabric, Color: purple**Item Size: Height: 30 cm",1 Artificial Flower Bunch,0,0,30,Fabric,0,Purple,Yes,800,240,95,0,4,No,No,1/1/1970,993,LAUNCH15
